,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.
,Unnamed: 0_level_1,Nat,Skater,JGP,CS,GP,Ch,WD,MeanEventTotal,MeanEventBV,MeanEventTES,MeanEventPCS,MeanJump,MeanSpin,MeanStep Seq,MeanChor Seq,MeanSS,MeanTR,MeanPE,MeanCO,MeanIN
0,1,🇺🇸,Nathan Chen,0,0,2,0,0,288.28n=2,132.86n=2,152.10n=2,136.68n=2,11.08n=20,4.28n=12,5.16n=4,5.32n=2,9.23n=4,8.87n=4,9.08n=4,9.19n=4,9.12n=4
1,2,🇯🇵,Yuma Kagiyama,0,0,2,0,0,282.22n=2,125.28n=2,148.74n=2,133.48n=2,10.99n=20,4.26n=12,4.35n=4,4.57n=2,9.04n=4,8.66n=4,8.81n=4,8.97n=4,8.88n=4
2,3,🇯🇵,Shoma Uno,0,0,2,0,0,280.42n=2,125.03n=2,145.54n=2,134.88n=2,10.83n=20,3.91n=12,4.94n=4,3.86n=2,9.16n=4,8.78n=4,9.07n=4,9.05n=4,9.00n=4
3,4,🇺🇸,Vincent Zhou,0,1,2,0,0,280.16n=3,135.84n=3,150.15n=3,130.01n=3,11.11n=30,4.07n=18,5.01n=6,4.58n=3,8.62n=6,8.50n=6,8.71n=6,8.71n=6,8.74n=6
4,5,🇷🇺,Mikhail Kolyada,0,1,2,0,0,265.06n=3,123.43n=3,134.82n=3,131.57n=3,9.48n=30,4.37n=18,4.73n=6,4.35n=3,8.86n=6,8.63n=6,8.66n=6,8.92n=6,8.77n=6
5,6,🇺🇸,Jason Brown,0,1,2,0,0,262.09n=3,105.77n=3,125.11n=3,137.64n=3,8.23n=30,4.35n=18,5.61n=6,5.44n=3,9.12n=6,9.07n=6,9.08n=6,9.37n=6,9.31n=6
6,7,🇰🇷,Junhwan Cha,0,0,2,1,0,260.19n=3,117.06n=3,131.56n=3,129.63n=3,9.16n=30,4.18n=18,4.91n=6,5.09n=3,8.68n=6,8.47n=6,8.67n=6,8.81n=6,8.75n=6
7,8,🇯🇵,Kazuki Tomono,0,0,2,1,0,259.43n=3,120.91n=3,134.89n=3,125.21n=3,10.01n=30,3.52n=18,4.38n=6,4.96n=3,8.39n=6,8.06n=6,8.32n=6,8.37n=6,8.37n=6
8,9,🇱🇻,Deniss Vasiljevs,0,1,2,1,0,256.27n=4,112.21n=4,129.71n=4,127.06n=4,8.95n=40,4.23n=24,5.16n=8,4.52n=4,8.42n=8,8.18n=8,8.52n=8,8.52n=8,8.68n=8
9,10,🇯🇵,Shun Sato,0,0,2,0,0,256.02n=2,130.82n=2,136.20n=2,120.82n=2,10.18n=20,3.70n=12,4.06n=4,4.07n=2,8.16n=4,7.87n=4,7.97n=4,8.06n=4,7.96n=4
10,11,🇷🇺,Mark Kondratiuk,0,2,1,1,0,252.40n=4,122.74n=4,131.18n=4,121.97n=4,9.67n=40,3.58n=24,4.34n=8,4.36n=4,8.13n=8,7.84n=8,8.14n=8,8.16n=8,8.25n=8
11,12,🇷🇺,Evgeni Semenenko,0,1,2,1,0,251.22n=4,123.28n=4,132.10n=4,120.13n=4,9.60n=40,3.85n=24,4.33n=8,4.36n=4,8.12n=8,7.71n=8,8.02n=8,8.08n=8,8.05n=8
12,13,🇮🇹,Daniel Grassl,0,2,2,1,0,251.13n=5,131.98n=5,134.06n=5,118.08n=5,9.81n=50,3.85n=30,4.47n=10,3.93n=5,7.88n=10,7.69n=10,7.90n=10,7.97n=10,7.99n=10
13,14,🇷🇺,Makar Ignatov,0,0,2,0,0,250.68n=2,125.22n=2,137.76n=2,113.42n=2,10.76n=20,3.29n=12,3.53n=4,3.36n=2,7.76n=4,7.33n=4,7.59n=4,7.68n=4,7.45n=4
14,15,🇷🇺,Andrei Mozalev,0,2,1,1,0,250.11n=4,122.04n=4,129.91n=4,121.45n=4,9.36n=40,3.89n=24,4.42n=8,4.12n=4,8.11n=8,7.98n=8,8.00n=8,8.15n=8,8.11n=8
15,16,🇮🇹,Matteo Rizzo,0,1,2,0,0,248.35n=3,110.61n=3,125.20n=3,123.82n=3,8.81n=30,3.87n=18,4.85n=6,4.17n=3,8.18n=6,7.96n=6,8.24n=6,8.32n=6,8.34n=6
16,17,🇨🇦,Keegan Messing,0,2,2,0,0,247.26n=4,106.51n=4,121.24n=4,127.27n=4,8.43n=40,3.93n=24,4.31n=8,4.76n=4,8.61n=8,8.34n=8,8.50n=8,8.56n=8,8.58n=8
17,18,🇷🇺,Peter Gumennik,0,2,1,0,0,244.27n=3,118.70n=3,126.94n=3,118.67n=3,9.11n=30,3.88n=18,4.30n=6,3.96n=3,7.98n=6,7.66n=6,7.86n=6,8.00n=6,8.03n=6
18,19,🇬🇪,Morisi Kvitelashvili,0,2,2,1,0,243.18n=5,119.10n=5,125.72n=5,118.66n=5,9.02n=50,3.78n=30,4.40n=10,4.01n=5,7.95n=10,7.68n=10,7.84n=10,7.95n=10,7.94n=10
19,20,🇨🇳,Boyang Jin,0,0,1,0,0,242.27n=1,125.50n=1,124.46n=1,119.81n=1,9.08n=10,3.52n=6,4.36n=2,3.86n=1,8.30n=2,7.74n=2,8.08n=2,8.07n=2,8.10n=2
