,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.
,Unnamed: 0_level_1,Nat,Skater,JGP,CS,GP,Ch,WD,MeanEventTotal,MeanEventBV,MeanEventTES,MeanEventPCS,MeanJump,MeanSpin,MeanStep Seq,MeanChor Seq,MeanSS,MeanTR,MeanPE,MeanCO,MeanIN
0,1,🇷🇺,Kamila Valieva,0,1,2,1,0,261.52n=4,119.54n=4,150.75n=4,111.52n=4,10.63n=40,4.76n=24,5.54n=8,4.81n=4,9.28n=8,9.09n=8,9.32n=8,9.34n=8,9.36n=8
1,2,🇷🇺,Anna Shcherbakova,0,0,2,1,0,234.63n=3,102.99n=3,126.51n=3,108.79n=3,8.53n=30,4.33n=18,5.30n=6,4.60n=3,8.98n=6,8.89n=6,9.06n=6,9.13n=6,9.14n=6
2,3,🇷🇺,Alexandra Trusova,0,0,1,1,0,233.36n=2,113.15n=2,130.50n=2,104.36n=2,9.18n=20,4.18n=12,4.69n=4,4.25n=2,8.80n=4,8.51n=4,8.75n=4,8.78n=4,8.73n=4
3,4,🇷🇺,Elizaveta Tuktamysheva,0,1,2,0,0,231.80n=3,104.62n=3,124.58n=3,107.22n=3,8.56n=30,4.05n=18,4.97n=6,4.72n=3,8.76n=6,8.54n=6,9.13n=6,9.00n=6,9.19n=6
4,5,🇷🇺,Sofia Akateva,2,0,0,0,0,229.36n=2,117.30n=2,137.11n=2,92.75n=2,10.08n=20,4.31n=12,5.20n=4,-n=0,7.80n=4,7.51n=4,7.88n=4,7.73n=4,7.80n=4
5,6,🇯🇵,Kaori Sakamoto,0,0,2,0,0,219.64n=2,92.44n=2,113.38n=2,106.25n=2,7.50n=20,3.99n=12,5.02n=4,4.40n=2,9.00n=4,8.61n=4,8.93n=4,8.84n=4,8.84n=4
6,7,🇷🇺,Alena Kostornaia,0,1,2,0,0,218.41n=3,99.43n=3,114.81n=3,103.93n=3,7.72n=30,4.19n=18,4.22n=6,4.08n=3,8.78n=6,8.46n=6,8.75n=6,8.70n=6,8.74n=6
7,8,🇷🇺,Daria Usacheva,0,0,1,0,0,217.31n=1,93.61n=1,113.29n=1,104.02n=1,7.21n=10,4.36n=6,5.18n=2,4.71n=1,8.61n=2,8.48n=2,8.76n=2,8.68n=2,8.73n=2
8,9,🇷🇺,Veronika Zhilina,1,0,0,0,0,216.92n=1,106.15n=1,123.94n=1,93.98n=1,9.20n=10,4.05n=6,3.81n=2,-n=0,7.88n=2,7.66n=2,7.86n=2,7.76n=2,7.91n=2
